transaction_id,customer_id,transaction_date,transaction_time,account_type,payment_method,direction,amount,balance_after,narration,merchant_name,merchant_city,merchant_country,transaction_datetime,year,month,day,hour,weekday,month_name,clean_narration,clean_merchant_name,is_debit,is_credit,transaction_type,time_period
TX0500022,CUST0001_SEASONAL,2024-01-10,08:11:00,Courant,Virement,Debit,109.3,22874.94,ACHAT SUPERMARCHE,BIM,Marrakech,MA,2024-01-10 08:11:00,2024,1,10,8,Wednesday,January,ACHAT SUPERMARCHE,BIM,1,0,Dépense,Matin
TX0500023,CUST0001_SEASONAL,2024-01-11,19:05:00,Courant,ATM,Debit,41.39,22833.55,TRANSPORT,Shell,Casablanca,MA,2024-01-11 19:05:00,2024,1,11,19,Thursday,January,TRANSPORT,SHELL,1,0,Dépense,Soir
TX0500024,CUST0001_SEASONAL,2024-01-11,12:23:00,Courant,Virement,Debit,65.37,22768.17,ACHAT SUPERMARCHE,BIM,Rabat,MA,2024-01-11 12:23:00,2024,1,11,12,Thursday,January,ACHAT SUPERMARCHE,BIM,1,0,Dépense,Après-midi
TX0500025,CUST0001_SEASONAL,2024-01-12,12:33:00,Courant,Virement instantané,Debit,141.13,22627.04,TRANSPORT,Pharmacie,Meknès,MA,2024-01-12 12:33:00,2024,1,12,12,Friday,January,TRANSPORT,PHARMACIE,1,0,Dépense,Après-midi
TX0500026,CUST0001_SEASONAL,2024-01-12,11:28:00,Courant,Virement instantané,Debit,34.03,22593.01,ACHAT SUPERMARCHE,Pharmacie,Rabat,MA,2024-01-12 11:28:00,2024,1,12,11,Friday,January,ACHAT SUPERMARCHE,PHARMACIE,1,0,Dépense,Matin
TX0500027,CUST0001_SEASONAL,2024-01-13,13:17:00,Courant,Carte,Debit,119.07,22473.94,ACHAT EPICERIE,ATM,Tanger,MA,2024-01-13 13:17:00,2024,1,13,13,Saturday,January,ACHAT EPICERIE,ATM,1,0,Dépense,Après-midi
TX0500028,CUST0001_SEASONAL,2024-01-13,18:38:00,Courant,Wallet,Debit,57.7,22416.24,ACHAT EPICERIE,Pharmacie,Agadir,MA,2024-01-13 18:38:00,2024,1,13,18,Saturday,January,ACHAT EPICERIE,PHARMACIE,1,0,Dépense,Soir
TX0500029,CUST0001_SEASONAL,2024-01-13,19:07:00,Courant,Espèces,Debit,77.87,22338.37,TRANSPORT,Carrefour,Rabat,MA,2024-01-13 19:07:00,2024,1,13,19,Saturday,January,TRANSPORT,CARREFOUR,1,0,Dépense,Soir
TX0500030,CUST0001_SEASONAL,2024-01-14,19:23:00,Courant,Carte,Debit,51.32,22287.05,TRANSPORT,Pharmacie,Oujda,MA,2024-01-14 19:23:00,2024,1,14,19,Sunday,January,TRANSPORT,PHARMACIE,1,0,Dépense,Soir
TX0500031,CUST0001_SEASONAL,2024-01-14,08:18:00,Courant,ATM,Debit,178.54,22108.51,CARBURANT,Carrefour,Oujda,MA,2024-01-14 08:18:00,2024,1,14,8,Sunday,January,CARBURANT,CARREFOUR,1,0,Dépense,Matin
TX0500032,CUST0001_SEASONAL,2024-01-15,12:45:00,Courant,Carte,Debit,166.88,21941.63,RETRAIT ATM,BIM,Fès,MA,2024-01-15 12:45:00,2024,1,15,12,Monday,January,RETRAIT ATM,BIM,1,0,Dépense,Après-midi
TX0500033,CUST0001_SEASONAL,2024-01-15,19:00:00,Courant,Virement instantané,Debit,42.79,21898.84,ACHAT EPICERIE,ATM,Fès,MA,2024-01-15 19:00:00,2024,1,15,19,Monday,January,ACHAT EPICERIE,ATM,1,0,Dépense,Soir
TX0500034,CUST0001_SEASONAL,2024-01-16,08:11:00,Courant,Virement instantané,Debit,117.07,21781.76,RETRAIT ATM,Pharmacie,Oujda,MA,2024-01-16 08:11:00,2024,1,16,8,Tuesday,January,RETRAIT ATM,PHARMACIE,1,0,Dépense,Matin
TX0500035,CUST0001_SEASONAL,2024-01-16,12:58:00,Courant,ATM,Debit,88.64,21693.13,TRANSPORT,Pharmacie,Fès,MA,2024-01-16 12:58:00,2024,1,16,12,Tuesday,January,TRANSPORT,PHARMACIE,1,0,Dépense,Après-midi
TX0500036,CUST0001_SEASONAL,2024-01-17,14:47:00,Courant,Espèces,Debit,31.65,21661.48,CARBURANT,ATM,Casablanca,MA,2024-01-17 14:47:00,2024,1,17,14,Wednesday,January,CARBURANT,ATM,1,0,Dépense,Après-midi
TX0500037,CUST0001_SEASONAL,2024-01-17,18:07:00,Courant,ATM,Debit,31.13,21630.35,RETRAIT ATM,BIM,Rabat,MA,2024-01-17 18:07:00,2024,1,17,18,Wednesday,January,RETRAIT ATM,BIM,1,0,Dépense,Soir
TX0500038,CUST0001_SEASONAL,2024-01-18,17:49:00,Courant,Virement instantané,Debit,128.29,21502.06,RETRAIT ATM,Pharmacie,Tanger,MA,2024-01-18 17:49:00,2024,1,18,17,Thursday,January,RETRAIT ATM,PHARMACIE,1,0,Dépense,Après-midi
TX0500039,CUST0001_SEASONAL,2024-01-18,17:55:00,Courant,Virement,Debit,37.55,21464.51,ACHAT EPICERIE,Careem,Agadir,MA,2024-01-18 17:55:00,2024,1,18,17,Thursday,January,ACHAT EPICERIE,CAREEM,1,0,Dépense,Après-midi
TX0500040,CUST0001_SEASONAL,2024-01-19,11:15:00,Courant,Espèces,Debit,56.16,21408.36,ACHAT SUPERMARCHE,Careem,Agadir,MA,2024-01-19 11:15:00,2024,1,19,11,Friday,January,ACHAT SUPERMARCHE,CAREEM,1,0,Dépense,Matin
TX0500041,CUST0001_SEASONAL,2024-01-19,09:02:00,Courant,ATM,Debit,207.23,21201.13,TRANSPORT,BIM,Oujda,MA,2024-01-19 09:02:00,2024,1,19,9,Friday,January,TRANSPORT,BIM,1,0,Dépense,Matin
TX0500042,CUST0001_SEASONAL,2024-01-20,11:21:00,Courant,Espèces,Debit,181.2,21019.93,ACHAT EPICERIE,Shell,Tanger,MA,2024-01-20 11:21:00,2024,1,20,11,Saturday,January,ACHAT EPICERIE,SHELL,1,0,Dépense,Matin
TX0500043,CUST0001_SEASONAL,2024-01-20,19:41:00,Courant,Wallet,Debit,33.11,20986.81,ACHAT EPICERIE,ATM,Agadir,MA,2024-01-20 19:41:00,2024,1,20,19,Saturday,January,ACHAT EPICERIE,ATM,1,0,Dépense,Soir
TX0500044,CUST0001_SEASONAL,2024-01-21,18:48:00,Courant,Carte,Debit,188.99,20797.82,ACHAT SUPERMARCHE,BIM,Casablanca,MA,2024-01-21 18:48:00,2024,1,21,18,Sunday,January,ACHAT SUPERMARCHE,BIM,1,0,Dépense,Soir
TX0500045,CUST0001_SEASONAL,2024-01-21,10:57:00,Courant,Virement instantané,Debit,65.3,20732.53,ACHAT EPICERIE,Pharmacie,Meknès,MA,2024-01-21 10:57:00,2024,1,21,10,Sunday,January,ACHAT EPICERIE,PHARMACIE,1,0,Dépense,Matin
TX0500046,CUST0001_SEASONAL,2024-01-22,16:35:00,Courant,ATM,Debit,172.47,20560.06,ACHAT EPICERIE,Carrefour,Casablanca,MA,2024-01-22 16:35:00,2024,1,22,16,Monday,January,ACHAT EPICERIE,CARREFOUR,1,0,Dépense,Après-midi
TX0500047,CUST0001_SEASONAL,2024-01-22,11:36:00,Courant,Wallet,Debit,134.19,20425.87,CARBURANT,Shell,Oujda,MA,2024-01-22 11:36:00,2024,1,22,11,Monday,January,CARBURANT,SHELL,1,0,Dépense,Matin
TX0500048,CUST0001_SEASONAL,2024-01-23,11:41:00,Courant,ATM,Debit,170.76,20255.11,ACHAT EPICERIE,BIM,Fès,MA,2024-01-23 11:41:00,2024,1,23,11,Tuesday,January,ACHAT EPICERIE,BIM,1,0,Dépense,Matin
TX0500049,CUST0001_SEASONAL,2024-01-23,13:35:00,Courant,Wallet,Debit,74.95,20180.16,TRANSPORT,Shell,Tanger,MA,2024-01-23 13:35:00,2024,1,23,13,Tuesday,January,TRANSPORT,SHELL,1,0,Dépense,Après-midi
TX0500050,CUST0001_SEASONAL,2024-01-24,19:44:00,Courant,Wallet,Debit,171.23,20008.94,ACHAT SUPERMARCHE,Shell,Casablanca,MA,2024-01-24 19:44:00,2024,1,24,19,Wednesday,January,ACHAT SUPERMARCHE,SHELL,1,0,Dépense,Soir
TX0500051,CUST0001_SEASONAL,2024-01-24,11:10:00,Courant,Virement,Debit,208.27,19800.66,RETRAIT ATM,Careem,Rabat,MA,2024-01-24 11:10:00,2024,1,24,11,Wednesday,January,RETRAIT ATM,CAREEM,1,0,Dépense,Matin
TX0500052,CUST0001_SEASONAL,2024-01-25,17:07:00,Courant,Espèces,Debit,65.76,19734.9,RETRAIT ATM,Pharmacie,Fès,MA,2024-01-25 17:07:00,2024,1,25,17,Thursday,January,RETRAIT ATM,PHARMACIE,1,0,Dépense,Après-midi
TX0500053,CUST0001_SEASONAL,2024-01-25,15:06:00,Courant,Carte,Debit,242.15,19492.74,RETRAIT ATM,Careem,Agadir,MA,2024-01-25 15:06:00,2024,1,25,15,Thursday,January,RETRAIT ATM,CAREEM,1,0,Dépense,Après-midi
TX0500054,CUST0001_SEASONAL,2024-01-25,08:37:00,Courant,ATM,Debit,44.56,19448.18,ACHAT SUPERMARCHE,Carrefour,Marrakech,MA,2024-01-25 08:37:00,2024,1,25,8,Thursday,January,ACHAT SUPERMARCHE,CARREFOUR,1,0,Dépense,Matin
TX0500055,CUST0001_SEASONAL,2024-01-25,13:40:00,Courant,Virement,Debit,137.9,19310.29,ACHAT SUPERMARCHE,ATM,Meknès,MA,2024-01-25 13:40:00,2024,1,25,13,Thursday,January,ACHAT SUPERMARCHE,ATM,1,0,Dépense,Après-midi
TX0500056,CUST0001_SEASONAL,2024-01-26,17:14:00,Courant,Virement,Debit,213.0,19097.29,ACHAT SUPERMARCHE,BIM,Tanger,MA,2024-01-26 17:14:00,2024,1,26,17,Friday,January,ACHAT SUPERMARCHE,BIM,1,0,Dépense,Après-midi
TX0500057,CUST0001_SEASONAL,2024-01-26,17:09:00,Courant,Virement instantané,Debit,73.55,19023.74,TRANSPORT,Careem,Casablanca,MA,2024-01-26 17:09:00,2024,1,26,17,Friday,January,TRANSPORT,CAREEM,1,0,Dépense,Après-midi
TX0500058,CUST0001_SEASONAL,2024-01-27,15:22:00,Courant,Wallet,Debit,207.2,18816.54,ACHAT SUPERMARCHE,BIM,Marrakech,MA,2024-01-27 15:22:00,2024,1,27,15,Saturday,January,ACHAT SUPERMARCHE,BIM,1,0,Dépense,Après-midi
TX0500059,CUST0001_SEASONAL,2024-01-27,12:47:00,Courant,Wallet,Debit,246.93,18569.61,TRANSPORT,Carrefour,Rabat,MA,2024-01-27 12:47:00,2024,1,27,12,Saturday,January,TRANSPORT,CARREFOUR,1,0,Dépense,Après-midi
TX0500060,CUST0001_SEASONAL,2024-01-28,14:45:00,Courant,Virement,Debit,219.38,18350.23,CARBURANT,Carrefour,Fès,MA,2024-01-28 14:45:00,2024,1,28,14,Sunday,January,CARBURANT,CARREFOUR,1,0,Dépense,Après-midi
TX0500061,CUST0001_SEASONAL,2024-01-28,13:16:00,Courant,Espèces,Debit,129.12,18221.11,ACHAT SUPERMARCHE,Carrefour,Marrakech,MA,2024-01-28 13:16:00,2024,1,28,13,Sunday,January,ACHAT SUPERMARCHE,CARREFOUR,1,0,Dépense,Après-midi
TX0500062,CUST0001_SEASONAL,2024-01-29,12:26:00,Courant,ATM,Debit,58.09,18163.01,CARBURANT,ATM,Tanger,MA,2024-01-29 12:26:00,2024,1,29,12,Monday,January,CARBURANT,ATM,1,0,Dépense,Après-midi
TX0500063,CUST0001_SEASONAL,2024-01-29,18:18:00,Courant,ATM,Debit,158.0,18005.01,CARBURANT,Pharmacie,Rabat,MA,2024-01-29 18:18:00,2024,1,29,18,Monday,January,CARBURANT,PHARMACIE,1,0,Dépense,Soir
TX0500064,CUST0001_SEASONAL,2024-01-30,13:50:00,Courant,Carte,Debit,200.16,17804.85,TRANSPORT,Carrefour,Meknès,MA,2024-01-30 13:50:00,2024,1,30,13,Tuesday,January,TRANSPORT,CARREFOUR,1,0,Dépense,Après-midi
TX0500065,CUST0001_SEASONAL,2024-01-30,10:28:00,Courant,Espèces,Debit,139.06,17665.79,CARBURANT,ATM,Agadir,MA,2024-01-30 10:28:00,2024,1,30,10,Tuesday,January,CARBURANT,ATM,1,0,Dépense,Matin
TX0500066,CUST0001_SEASONAL,2024-01-30,09:15:00,Courant,Espèces,Debit,38.99,17626.8,CARBURANT,ATM,Meknès,MA,2024-01-30 09:15:00,2024,1,30,9,Tuesday,January,CARBURANT,ATM,1,0,Dépense,Matin
TX0500067,CUST0001_SEASONAL,2024-01-31,16:58:00,Courant,Carte,Debit,237.18,17389.62,TRANSPORT,Carrefour,Rabat,MA,2024-01-31 16:58:00,2024,1,31,16,Wednesday,January,TRANSPORT,CARREFOUR,1,0,Dépense,Après-midi
TX0500068,CUST0001_SEASONAL,2024-01-31,13:20:00,Courant,Virement,Debit,117.83,17271.79,ACHAT EPICERIE,Pharmacie,Agadir,MA,2024-01-31 13:20:00,2024,1,31,13,Wednesday,January,ACHAT EPICERIE,PHARMACIE,1,0,Dépense,Après-midi
TX0500069,CUST0001_SEASONAL,2024-02-01,10:19:00,Salaire,Virement instantané,Credit,17876.0,35147.79,virement employeur,Salaire,Oujda,MA,2024-02-01 10:19:00,2024,2,1,10,Thursday,February,VIREMENT EMPLOYEUR,SALAIRE,0,1,Revenu,Matin
TX0500071,CUST0001_SEASONAL,2024-02-01,10:19:00,Courant,Virement instantané,Debit,216.91,34930.88,RETRAIT ATM,ATM,Marrakech,MA,2024-02-01 10:19:00,2024,2,1,10,Thursday,February,RETRAIT ATM,ATM,1,0,Dépense,Matin
TX0500071,CUST0001_SEASONAL,2024-02-01,20:24:00,Courant,Wallet,Debit,76.15,34854.73,ACHAT SUPERMARCHE,Shell,Casablanca,MA,2024-02-01 20:24:00,2024,2,1,20,Thursday,February,ACHAT SUPERMARCHE,SHELL,1,0,Dépense,Soir
TX0500072,CUST0001_SEASONAL,2024-02-02,18:33:00,Courant,Carte,Debit,111.86,34742.87,ACHAT EPICERIE,Carrefour,Agadir,MA,2024-02-02 18:33:00,2024,2,2,18,Friday,February,ACHAT EPICERIE,CARREFOUR,1,0,Dépense,Soir
TX0500073,CUST0001_SEASONAL,2024-02-02,12:14:00,Courant,Carte,Debit,46.09,34696.78,ACHAT EPICERIE,Careem,Fès,MA,2024-02-02 12:14:00,2024,2,2,12,Friday,February,ACHAT EPICERIE,CAREEM,1,0,Dépense,Après-midi
TX0500074,CUST0001_SEASONAL,2024-02-03,18:22:00,Courant,Wallet,Debit,233.76,34463.01,TRANSPORT,Careem,Agadir,MA,2024-02-03 18:22:00,2024,2,3,18,Saturday,February,TRANSPORT,CAREEM,1,0,Dépense,Soir
TX0500075,CUST0001_SEASONAL,2024-02-03,17:32:00,Courant,Carte,Debit,81.54,34381.47,CARBURANT,BIM,Fès,MA,2024-02-03 17:32:00,2024,2,3,17,Saturday,February,CARBURANT,BIM,1,0,Dépense,Après-midi
TX0500076,CUST0001_SEASONAL,2024-02-04,15:43:00,Courant,ATM,Debit,119.39,34262.08,CARBURANT,Carrefour,Tanger,MA,2024-02-04 15:43:00,2024,2,4,15,Sunday,February,CARBURANT,CARREFOUR,1,0,Dépense,Après-midi
TX0500077,CUST0001_SEASONAL,2024-02-04,08:29:00,Courant,ATM,Debit,58.88,34203.2,CARBURANT,BIM,Tanger,MA,2024-02-04 08:29:00,2024,2,4,8,Sunday,February,CARBURANT,BIM,1,0,Dépense,Matin
TX0500078,CUST0001_SEASONAL,2024-02-05,19:50:00,Courant,ATM,Debit,214.86,33988.34,CARBURANT,ATM,Casablanca,MA,2024-02-05 19:50:00,2024,2,5,19,Monday,February,CARBURANT,ATM,1,0,Dépense,Soir
TX0500079,CUST0001_SEASONAL,2024-02-05,11:06:00,Courant,Virement,Debit,110.03,33878.31,RETRAIT ATM,BIM,Fès,MA,2024-02-05 11:06:00,2024,2,5,11,Monday,February,RETRAIT ATM,BIM,1,0,Dépense,Matin
TX0500080,CUST0001_SEASONAL,2024-02-06,20:09:00,Courant,Espèces,Debit,172.87,33705.44,CARBURANT,Shell,Fès,MA,2024-02-06 20:09:00,2024,2,6,20,Tuesday,February,CARBURANT,SHELL,1,0,Dépense,Soir
TX0500081,CUST0001_SEASONAL,2024-02-06,17:20:00,Courant,Virement,Debit,62.83,33642.61,TRANSPORT,Shell,Rabat,MA,2024-02-06 17:20:00,2024,2,6,17,Tuesday,February,TRANSPORT,SHELL,1,0,Dépense,Après-midi
TX0500082,CUST0001_SEASONAL,2024-02-07,15:30:00,Courant,Espèces,Debit,35.26,33607.36,ACHAT EPICERIE,Pharmacie,Oujda,MA,2024-02-07 15:30:00,2024,2,7,15,Wednesday,February,ACHAT EPICERIE,PHARMACIE,1,0,Dépense,Après-midi
TX0500083,CUST0001_SEASONAL,2024-02-07,09:47:00,Courant,Virement instantané,Debit,42.58,33564.77,RETRAIT ATM,Pharmacie,Fès,MA,2024-02-07 09:47:00,2024,2,7,9,Wednesday,February,RETRAIT ATM,PHARMACIE,1,0,Dépense,Matin
TX0500084,CUST0001_SEASONAL,2024-02-08,15:19:00,Courant,Carte,Debit,108.69,33456.08,TRANSPORT,Pharmacie,Oujda,MA,2024-02-08 15:19:00,2024,2,8,15,Thursday,February,TRANSPORT,PHARMACIE,1,0,Dépense,Après-midi
TX0500085,CUST0001_SEASONAL,2024-02-08,17:51:00,Courant,Virement,Debit,60.89,33395.2,CARBURANT,Shell,Fès,MA,2024-02-08 17:51:00,2024,2,8,17,Thursday,February,CARBURANT,SHELL,1,0,Dépense,Après-midi
TX0500086,CUST0001_SEASONAL,2024-02-08,14:55:00,Courant,Espèces,Debit,222.6,33172.59,CARBURANT,Carrefour,Marrakech,MA,2024-02-08 14:55:00,2024,2,8,14,Thursday,February,CARBURANT,CARREFOUR,1,0,Dépense,Après-midi
TX0500087,CUST0001_SEASONAL,2024-02-09,09:03:00,Courant,Virement instantané,Debit,66.98,33105.61,CARBURANT,Careem,Tanger,MA,2024-02-09 09:03:00,2024,2,9,9,Friday,February,CARBURANT,CAREEM,1,0,Dépense,Matin
TX0500088,CUST0001_SEASONAL,2024-02-09,08:56:00,Courant,Wallet,Debit,108.32,32997.3,ACHAT EPICERIE,Pharmacie,Agadir,MA,2024-02-09 08:56:00,2024,2,9,8,Friday,February,ACHAT EPICERIE,PHARMACIE,1,0,Dépense,Matin
TX0500089,CUST0001_SEASONAL,2024-02-10,09:10:00,Courant,ATM,Debit,186.58,32810.72,TRANSPORT,Carrefour,Meknès,MA,2024-02-10 09:10:00,2024,2,10,9,Saturday,February,TRANSPORT,CARREFOUR,1,0,Dépense,Matin
TX0500090,CUST0001_SEASONAL,2024-02-10,15:14:00,Courant,Wallet,Debit,100.72,32710.0,ACHAT EPICERIE,BIM,Casablanca,MA,2024-02-10 15:14:00,2024,2,10,15,Saturday,February,ACHAT EPICERIE,BIM,1,0,Dépense,Après-midi
TX0500091,CUST0001_SEASONAL,2024-02-11,13:44:00,Courant,Carte,Debit,93.56,32616.44,TRANSPORT,BIM,Agadir,MA,2024-02-11 13:44:00,2024,2,11,13,Sunday,February,TRANSPORT,BIM,1,0,Dépense,Après-midi
TX0500092,CUST0001_SEASONAL,2024-02-12,14:47:00,Courant,Espèces,Debit,195.41,32421.04,ACHAT SUPERMARCHE,Pharmacie,Tanger,MA,2024-02-12 14:47:00,2024,2,12,14,Monday,February,ACHAT SUPERMARCHE,PHARMACIE,1,0,Dépense,Après-midi
TX0500093,CUST0001_SEASONAL,2024-02-12,17:23:00,Courant,ATM,Debit,144.81,32276.22,RETRAIT ATM,Pharmacie,Tanger,MA,2024-02-12 17:23:00,2024,2,12,17,Monday,February,RETRAIT ATM,PHARMACIE,1,0,Dépense,Après-midi
TX0500094,CUST0001_SEASONAL,2024-02-13,12:20:00,Courant,Espèces,Debit,188.52,32087.7,RETRAIT ATM,ATM,Tanger,MA,2024-02-13 12:20:00,2024,2,13,12,Tuesday,February,RETRAIT ATM,ATM,1,0,Dépense,Après-midi
TX0500095,CUST0001_SEASONAL,2024-02-13,09:17:00,Courant,ATM,Debit,57.78,32029.92,TRANSPORT,ATM,Tanger,MA,2024-02-13 09:17:00,2024,2,13,9,Tuesday,February,TRANSPORT,ATM,1,0,Dépense,Matin
TX0500096,CUST0001_SEASONAL,2024-02-13,13:43:00,Courant,Carte,Debit,160.14,31869.79,ACHAT EPICERIE,Shell,Oujda,MA,2024-02-13 13:43:00,2024,2,13,13,Tuesday,February,ACHAT EPICERIE,SHELL,1,0,Dépense,Après-midi
TX0500097,CUST0001_SEASONAL,2024-02-13,13:45:00,Courant,Virement instantané,Debit,212.06,31657.72,ACHAT SUPERMARCHE,BIM,Marrakech,MA,2024-02-13 13:45:00,2024,2,13,13,Tuesday,February,ACHAT SUPERMARCHE,BIM,1,0,Dépense,Après-midi
TX0500098,CUST0001_SEASONAL,2024-02-14,11:07:00,Courant,Wallet,Debit,114.31,31543.41,CARBURANT,ATM,Marrakech,MA,2024-02-14 11:07:00,2024,2,14,11,Wednesday,February,CARBURANT,ATM,1,0,Dépense,Matin
TX0500099,CUST0001_SEASONAL,2024-02-14,17:36:00,Courant,Virement instantané,Debit,125.73,31417.68,CARBURANT,Careem,Rabat,MA,2024-02-14 17:36:00,2024,2,14,17,Wednesday,February,CARBURANT,CAREEM,1,0,Dépense,Après-midi
